company,role,skills,cgpa_minimum
Lionheart Labs,Product Manager,"Roadmap Planning, Scrum, Go-to-Market Strategy, Data Analysis, Agile, Confluence, Stakeholder Communication, SQL, JIRA, Product Lifecycle Management",7.7
Horizon Digital,Mobile App Developer,"iOS SDK, Flutter, Kotlin, Xamarin, React Native, UI/UX Principles, Dart, Realm, Core Data",8.4
Mphasis,UI/UX Designer,"Sketch, InVision, UI/UX Design Principles, Wireframing, Adobe XD",7.6
Tech Mahindra,Network Engineer,"TCP/IP, Python, Juniper, Network Security, Load Balancers",7.3
Momentum Dynamics,Frontend Developer,"Webpack, Angular, REST APIs, Cypress, ES6+, HTML5, LESS, Vue.js, Next.js",7.9
EchoSphere,Cloud Engineer,"Cost Optimization, Azure Functions, CloudFormation, Python, Go, Terraform, Serverless",7.1
Tata Digital,QA Engineer,"Selenium, LoadRunner, API Testing, Manual Testing, Test Cases, Bug Tracking, Playwright, Cypress",6.6
Pinnacle Innovations,Business Analyst,"Stakeholder Management, Requirements Gathering, SQL, SWOT Analysis, Business Case Development, User Stories, ExTableau",7.7
BinaryBridge Technologies,Business Analyst,"MS Visio, ExTableau, User Stories, Business Case Development, JIRA, SWOT Analysis",8.1
Lumina Analytics,Mobile App Developer,"React Native, Java, RxSwift, Android Studio, Xcode, Objective-C, Realm",8.3
NextGen AI Labs,QA Engineer,"Manual Testing, Automation Testing, JMeter, Bug Tracking, JIRA, Postman, Playwright",6.3
Riptide Software,DevOps Engineer,"Networking, Puppet, Bash Scripting, Ansible, AWS, Docker, Azure, Kubernetes, Terraform",7.6
Paytm,Embedded Systems Engineer,"RTOS, I2C, Circuit Design, C++, VHDL",7.7
PhonePe,Mobile App Developer,"Dart, REST APIs, Firebase, RxJava, Android SDK, React Native, Android Studio",7.6
Zenith Labs,Business Analyst,"Business Case Development, MS Visio, ExTableau, SWOT Analysis, Agile, Process Mapping, Stakeholder Management, Scrum, Confluence, SQL",7.1
Zerodha,Game Developer,"Unreal Engine, OpenGL, Network Programming, C#, AI for Games, Maya, Game Physics",7.3
Orion Enterprises,Full-Stack Developer,"CI/CD, Python, PostgreSQL, System Design, Go, React, Vue.js, Node.js",8.6
Infosys,Software Engineer,"Java, Docker, C#, System Design, Microservices, Object-Oriented Programming (OOP), Scrum, Python",8.5
Foxglove AI,QA Engineer,"SQL, Manual Testing, Regression Testing, Selenium, Test Planning, Postman, Test Cases",9.0
BlueSun Corporation,Systems Administrator,"Security Patching, Networking (TCP/IP, DNS, DHCP), Ansible, Active Directory, Bash Scripting",6.7
Meteor Innovations,Network Engineer,"DNS, TCP/IP, Network Security, Ansible, Firewalls, Network Monitoring (SNMP), Cisco, Routing (BGP, OSPF), Python, Load Balancers",8.3
Meteor Innovations,Mobile App Developer,"Xcode, Android SDK, Java, Xamarin, Swift, Dart, Kotlin, Core Data",7.7
QuantumLeap Analytics,Machine Learning Engineer,"Docker, Pandas, Computer Vision, Algorithms, Caffe, Kubeflow, Kubernetes",7.4
CyberGuard Security,Data Analyst,"R, A/B Testing, Reporting, JIRA, Qlik Sense, ETL, Statistics, Power BI, Pandas",8.1
Umbra Technologies,Database Administrator (DBA),"Shell Scripting, Data Security, NoSQL, Backup and Recovery, Performance Tuning, Replication",6.9
Flipkart,Backend Developer,"Go, CI/CD, Java, Kafka, Redis, Docker, MongoDB, Node.js, Ruby",8.2
AlphaStream Data,Frontend Developer,"Vue.js, Redux, GraphQL, Vuex, Next.js",6.9
Larsen & Toubro Infotech (LTI),Backend Developer,"Kubernetes, Python, Django, PostgreSQL, Flask, Go, Docker",7.1
PulsePoint,Systems Administrator,"Virtualization (VMware, Hyper-V), PowerShell, Networking (TCP/IP, DNS, DHCP), Bash Scripting, Ansible",6.9
Reliance Jio,Game Developer,"Blender, 3D Graphics, DirectX, Shader Programming, Game Physics",6.8
BinaryBridge Technologies,Product Manager,"JIRA, Competitive Analysis, Kanban, A/B Testing, Agile",6.1
Nebula Corporation,Full-Stack Developer,"Python, REST APIs, System Design, Vue.js, TypeScript, Flask, CI/CD, Git, Docker",8.6
CyberGuard Security,UI/UX Designer,"Design Systems, Wireframing, InVision, User Journey Mapping, A/B Testing, Zeplin, Sketch, Figma, UI/UX Design Principles, Adobe XD",6.0
InnovateTech Solutions,Embedded Systems Engineer,"VHDL, Verilog, I2C, SPI, Circuit Design, Firmware",6.6
Tata Digital,Network Engineer,"Ansible, VPN, Python, Firewalls, DNS, Network Security, Load Balancers, Switching",6.1
Ironclad Security,Frontend Developer,"Cypress, LESS, React, GraphQL, NPM, Redux, Babel, CSS3, Web Performance",6.3
Lionheart Labs,Cybersecurity Analyst,"Python, Wireshark, Nmap, Scripting, Splunk, Security Compliance (ISO 27001, NIST), Intrusion Detection Systems (IDS), SIEM",6.0
Zenith Labs,Network Engineer,"Cisco, Network Security, Juniper, Network Monitoring (SNMP), Load Balancers, DNS, TCP/IP, Switching",6.7
Xenon Dynamics,DevOps Engineer,"Puppet, Terraform, Python Scripting, Chef, CI/CD, Linux, Grafana, Networking, Security",7.3
Udaan,Frontend Developer,"ES6+, Angular, LESS, Webpack, Jest, Redux, Responsive Design",8.8
Jade Mountain,Machine Learning Engineer,"MLOps, Distributed Computing, NumPy, Algorithms, Caffe, Kubeflow, AWS SageMaker, C++",8.1
BlueSun Corporation,Data Scientist,"ETL, Tableau, Pandas, Hadoop, Airflow, Computer Vision, Spark, NumPy",7.2
Ola Cabs,Backend Developer,"Django, Node.js, RabbitMQ, Docker, SQL, Message Queues",7.6
FusionWorks Software,Cybersecurity Analyst,"Wireshark, Splunk, Firewalls, Intrusion Detection Systems (IDS), Nmap, Python",7.8
Ironclad Security,Business Analyst,"Confluence, Process Mapping, Business Case Development, User Stories, Stakeholder Management",6.2
Razorpay,Software Engineer,"Integration Testing, Git, C++, Kubernetes, Rust, Scala",7.3
HCL Technologies,QA Engineer,"Bug Tracking, Selenium, JIRA, Performance Testing, Playwright, LoadRunner, Automation Testing, SQL, Appium, Manual Testing",7.2
FusionWorks Software,Software Engineer,"Unit Testing, Scala, Algorithms, Integration Testing, Object-Oriented Programming (OOP), Agile, C++, Go, Python",8.4
Unity Systems,Software Engineer,"Data Structures, Object-Oriented Programming (OOP), Go, Linux/Unix, Kubernetes, System Design, Unit Testing, Algorithms, Java, Integration Testing",8.8
Foxglove AI,Product Manager,"SQL, Agile, Market Research, Product Lifecycle Management, A/B Testing, Competitive Analysis, Scrum, User Stories, Roadmap Planning, Data Analysis",7.6
Policybazaar,Business Analyst,"JIRA, ExTableau, MS Visio, User Stories, Business Case Development, Scrum, Financial Modeling, Stakeholder Management, Confluence, SWOT Analysis",6.6
Wipro,UI/UX Designer,"Usability Testing, HTML/CSS fundamentals, User Research, A/B Testing, UI/UX Design Principles",7.5
Wipro,DevOps Engineer,"Bash Scripting, Azure, GitLab CI, Security, Networking, CI/CD, Python Scripting, Linux",6.8
BlueSun Corporation,Mobile App Developer,"iOS SDK, React Native, RxJava, UI/UX Principles, Flutter, Android SDK, RxSwift, Firebase, Xcode, Core Data",7.5
Quasar Data,Database Administrator (DBA),"MongoDB, Data Security, Oracle DB, Microsoft SQL Server, Replication, Backup and Recovery",6.4
Vedantu,Machine Learning Engineer,"Distributed Computing, GCP AI Platform, TensorFlow, Kubeflow, Data Structures, Python",8.9
PhonePe,Backend Developer,"MongoDB, REST APIs, Message Queues, NoSQL, GraphQL, Go, MySQL, C#, RabbitMQ, Ruby",6.2
Mindtree,Database Administrator (DBA),"Cassandra, Performance Tuning, Python, Data Security, NoSQL, Backup and Recovery, Oracle DB, Shell Scripting",8.9
EchoSphere,Full-Stack Developer,"REST APIs, SQL, Docker, CI/CD, AWS",8.9
CRED,Backend Developer,"PostgreSQL, Docker, MongoDB, Node.js, C#, REST APIs, RabbitMQ, GraphQL",7.1
Keystone Logic,Network Engineer,"Load Balancers, Network Monitoring (SNMP), Switching, Cisco, DNS, TCP/IP, VPN, Firewalls, Juniper, Network Security",8.5
SilverLining Cloud,Network Engineer,"Firewalls, VPN, Network Monitoring (SNMP), TCP/IP, Network Security, DNS, Juniper, Load Balancers, Python",7.0
Udaan,Software Engineer,"Docker, Data Structures, System Design, Algorithms, Scrum, Git, Go",6.8
Meesho,Machine Learning Engineer,"Reinforcement Learning, Computer Vision, Algorithms, Azure ML, Python, MLOps, AWS SageMaker",8.5
Jade Mountain,Backend Developer,"REST APIs, GraphQL, MySQL, Docker, Ruby on Rails, .NET, Node.js, Kubernetes, Message Queues",6.2
BinaryBridge Technologies,Cloud Engineer,"Python, Docker, Go, Cloud Security, Identity and Access Management (IAM), Cost Optimization, Azure, Networking (VPC, Subnets), Serverless",8.4
Tata Digital,Full-Stack Developer,"MongoDB, TypeScript, Git, Python, Node.js, System Design",7.6
Unacademy,UI/UX Designer,"Prototyping, HTML/CSS fundamentals, User Journey Mapping, InVision, Adobe XD, Sketch, A/B Testing, Usability Testing, Zeplin, UI/UX Design Principles",8.9
Uber India,Database Administrator (DBA),"SQL, Replication, MongoDB, Cassandra, PostgreSQL, Shell Scripting, Performance Tuning, Backup and Recovery",7.9
HCL Technologies,DevOps Engineer,"Bash Scripting, Kubernetes, Chef, Security, GitLab CI, Puppet, Google Cloud Platform (GCP), Linux",8.3
Byju's,Database Administrator (DBA),"Replication, Oracle DB, Backup and Recovery, Performance Tuning, MySQL, Microsoft SQL Server, Python",7.8
InMobi,Frontend Developer,"GraphQL, SASS, NPM, Redux, Gatsby, HTML5",8.2
BinaryBridge Technologies,Machine Learning Engineer,"Docker, Algorithms, C++, Computer Vision, Distributed Computing, PyTorch, Kubeflow, Python",7.8
EchoSphere,Frontend Developer,"Babel, LESS, Cypress, Next.js, REST APIs",8.3
Pinnacle Innovations,Backend Developer,"Laravel, Kafka, RabbitMQ, Docker, Microservices, Django, .NET, Ruby on Rails",7.5
Tata Consultancy Services (TCS),QA Engineer,"Test Planning, LoadRunner, Appium, Bug Tracking, JMeter, SQL, Postman, Playwright, Regression Testing",7.9
HCL Technologies,Data Analyst,"SAS, Pandas, Tableau, Adobe Analytics, Statistics, Power BI",7.2
Orion Enterprises,Network Engineer,"Juniper, DNS, Load Balancers, Network Monitoring (SNMP), Cisco, Firewalls, TCP/IP, Network Security",6.2
